ID|Empresa /Caso|industria_inferida|industria_general|industria_inferida_en|industria_general_en
CTG23wd9H74|3M: HPC Modeling Platform for Scientists and Engineers|Manufactura / Ciencia / HPC|Industria|MANUFACTURE / SCIENCE / HPC|Manufacture
-ahWdCysMYw|Summit Tecnologíanology Group: Multi‑Tenant Data Consumption Model|Cloud Consulting / Multi‑Tenant SaaS|Tecnología|Cloud Consulting / Multi -Tanant Saas|Technology
5f3z1Z_9BJA|Capgemini: Refactoring Data Warehouse to Redshift|Consultoría / Data Warehousing|Transformación Digital|Consulting / Data Warehouseing|Consulting and Digital Transformation
yVgxqT1vikk|Intent: Analyzing Billions of Customer Events Using Serverless|MarTech / Customer Analytics|Tecnología|Marsch / Customer Analytics|Technology
mmM_JnYygZM|SHOPLINE: E‑Commerce O2O Platform (Cantonese)|Retail / E‑commerce|Retail|Retail / e -commerce|Retail
BPvr0qWpJlA|ContactSuite: Omni‑Channel Service Desk Workflow|Customer Service / SaaS|Transformación Digital|Customer Service / Saas|Consulting and Digital Transformation
U1P8vZTEB-k|GSR: Crypto Market Maker and Ecosystem Partner|Crypto / FinTech|Tecnología|Crypto / Fintech|Technology
X3mC6Yfd138|PredictHQ|Data Intelligence / Demand Forecasting|Tecnología|Data Intelligence / Demand Forecasting|Technology
9qTEHITVeLE|Majid Al Futtaim|Retail / Data Management|Retail|Retail / Data Management|Retail
YT21s0_ZJVQ|AMPOS|HRTech / Regional Operations|Tecnología|HRTECH / REGIONAL OPERATIONS|Technology
7V8wTCkjOqo|NAB|FinTech / Banking / Cloud Governance|Tecnología|Fintech / Banking / Cloud Governance|Technology
S85DeDgWQSc|San Diego Gas & Electric|Utilities / Energy / ML for Disaster Prevention|Energía|Utilities / Energy / ML For Disaster Prevention|Energy
5QbKp0LQaZo|GumGum Verity|AdTech / PrivacyTech / NLP|Tecnología|Adtech / Privacytech / NLP|Technology
Fd2c7NDYfpo|Publicis Sapient|Consultoría / Multi-account SaaS Deployment|Transformación Digital|Consulting / Multi-Account Saas Deployment|Consulting and Digital Transformation
XG6mHvi4eNU|Avaloq|FinTech / Banking SaaS / Kubernetes|Tecnología|Fintech / Banking Saas / Kubernetes|Technology
37T7Nd8pL-c|Docebo|EdTech / eLearning AI|Tecnología|Edtech / Elearning AI|Technology
nflGdpwbf54|Vertex Pharmaceuticals|HealthTech / Pharma R&D / Serverless|Salud|Healthtech / Pharma R&D / Serverless|Health
QuyZHin9B70|Veritas|Cloud Storage / Infraestructure / Data Mgmt|Tecnología|Cloud Storage / Infrastructure / Data MGMT|Technology
6LcSv9XocTY|Intuit|FinTech / Customer Service|Tecnología|Fintech / Customer Service|Technology
3WgTBTDlQN8|FanFight|Gaming / Fantasy Sports|Gaming|Gaming / Fantasy Sports|Gaming
mq3XuoN0rUM|ZS Associates|Consultoría / AI Automation|Transformación Digital|Consulting / AI Automation|Consulting and Digital Transformation
7dtomip_VXc|Akatsuki|Gaming / Game Servers / ECS|Gaming|Gaming / Game Servers / ECS|Gaming
gu54VVeDD10|FPL Tecnologíanologies|FinTech / Credit / ML Workbenches|Tecnología|Fintech / Credit / ML Workbenhes|Technology
WYK-smWKywA|SGX|FinTech / Securities / Trading App|Tecnología|Fintech / Securities / Trading App|Technology
XpFNznmRoQ0|Healthfirst|HealthTech / DataOps / Event-driven|Salud|Healthtech / Dataops / Event-Driven|Health
cRxvZBIa-gI|Equifax|FinTech / Credit Reporting / Cloud Infra|Tecnología|Fintech / Credit Reporting / Cloud Infra|Technology
Qz8uXtDC1bY|Fundbox|FinTech / Lending / Serverless Analytics|Tecnología|Fintech / Lending / Serverless Analytics|Technology
Ccutfm_Srzw|Zulily|Retail / Search / MongoDB|Retail|Retail / Search / Mongodb|Retail
asZIXK7V-U4|Ounass|Retail / Recommender Systems / ML|Retail|Retail / Recommend Systems / ML|Retail
RU__HBEMDvQ|BookMyShow|Entertainment / Ticketing / Data Analytics|Entertainment|Entertainment / Ticketing / Data Analytics|Entertainment
ameanoaMldM|Bristol-Myers Squibb|Pharma / DevOps / Service Catalog|Salud|Pharma / Devops / Service Catog|Health
qgW8LQ8iBuA|Hancom|Office Tools / Real-time Collaboration|Tecnología|Office Tools / Real-Time Collaboration|Technology
66h7DrOEF5k|ABEJA|AI Platform / Container Tech / Japan|Tecnología|Ai Platform / Container Tech / Japan|Technology
HcmEFZukA-Y|7-Eleven|Retail / Serverless / Digital Wallet|Retail|Retail / Serverless / Digital Wallet|Retail
1SwHH7qQ6Pc|Advance Local|Media / Collaboration / Serverless|Tecnología|Media / Collaboration / Serverless|Technology
1ZLiRT0C2Yo|T-Mobile|Telecom / Container Infra|Tecnología|TELECOM / CONTAINER INFRA|Technology
K27WjYwyqw8|Next Caller|Security / Fraud Detection / SageMaker|Tecnología|Security / fraud detection / sagemaker|Technology
iWK0iRUi-b4|Snyk|DevSecOps / CI-CD Security|Tecnología|Devsecops / CI-CD Security|Technology
x76BIV88j_M|Cabify|Mobility / Ride-sharing / Containerized Apps|Logística y Transporte|Mobility / Ride-Sharing / Containerized Apps|Logistics and transport
FHdtOtznWuA|SoftChef|IoT / Serverless / Mandarin market|Tecnología|IoT / Serverless / Mandarin Market|Technology
pwrdLJx0iAU|Cal Poly|EdTech / DevOps / IAM|Tecnología|EDTECH / DEVOPS / IAM|Technology
uOSpWdAyrZo|HBO Max|Media / Infra Monitoring / Misconfig Remediation|Tecnología|Media / Infra Monitoring / Misconfig Remediation|Technology
XgJUsBDQILQ|Klika Tecnología + Stonehenge|IoT / Smart Living / Alexa|Tecnología|IoT / Smart Living / Alexa|Technology
ccPhkyPm_3w|Imperva|Cybersecurity / Streaming Analytics / MSK|Tecnología|Cybersecury / streaming analytics / msk|Technology
TTlyNWh0gjM|Zoho Site24x7|Monitoring / Observability / SaaS|Tecnología|Monitoring / Observability / SAAS|Technology
aOZ4H98XROc|Cyxtera|Cybersecurity / Zero Trust / Hybrid Cloud|Tecnología|Cybersecury / Zero Trust / Hybrid Cloud|Technology
amh7nzl32v4|Melco Resorts & Entertainment: Serverless Architecture Pattern for Melco Club Mobile App|Entretenimiento / Arquitectura serverless|Entertainment|SERVERLESS ENTERTAINMENT / ARCHITECTURE|Entertainment
Wk9mCHyjtBU|Veracode: Eliminating Application Security Bugs Through DevSecOps at Scale|Ciberseguridad / DevSecOps|Tecnología|Cybersecurity / Devsecops|Technology
j-lPgPGBTwQ|Halter:Building the Future of Farming with IoT Enabled Livestock and Pasture Management|AgroTech / IoT en agricultura|Agricultura|Agrotech / IoT in Agriculture|Agriculture
f5EJBUfGZtw|Expedia: Salesforce Integration with AWS|Turismo / Integración CRM|Logística y Transporte|Tourism / CRM Integration|Logistics and transport
hbz63Ve-eIY|Wix: Serverless Platform for End-to-End Browser Testing using Chromium on AWS Lambda|Tecnología / Testing automatizado|Tecnología|Automated Technology / Testing|Technology
q_5U7z_vNug|Flutura: Digital Twin - Shaping Operations for Maximizing Yield, Reliability and Net-Zero Goals|Industria / Digital Twin|Transformación Digital|Digital / Digital Twin|Consulting and Digital Transformation
u3ZwnulzLnU|SonarSource: Automatic Code Analysis in the Cloud with AWS|Tecnología / Análisis de código|Tecnología|Technology / Code Analysis|Technology
mZxF1IJEsaY|Zappos: Back Office Migration starring Amazon ECS and Amazon Aurora|Retail / Migración de infraestructura|Retail|Retail / infrastructure migration|Retail
hf9nMAG9XoU|Taco Bell: Aurora as The Heart of the Menu Middleware and Data Integration Platform for Taco Bell|FoodTech / Integración de datos|Food|Foodtech / data integration|Food
Bi-1xjXvKgs|tixCraft: Handling Millions of Ticketing Requests with AWS|Entretenimiento / Ticketing|Entretenimiento|Entertainment / Ticketing|Entertainment
kD57QUn5myc|AWS Solutions:  AI Powered Speech Analytics for Amazon Connect|Tecnología / Contact Centers con IA|Tecnología|Technology / Contact Centers with AI|Technology
_vjB_vF4Uec|Nasuni: Building a Global File Lock Service on AWS|Tecnología / Cloud Storage|Tecnología|Technology / Cloud Storage|Technology
WS2Qgx0qgCM|Airbnb: Securing MultiTenant Kubernetes Clusters at Scale|Turismo / Seguridad en Kubernetes|Logística y Transporte|TOURISM / KUBERNETES SECURITY|Logistics and transport
phN08pi3YzY|Fiverr: Simplifying PCI DSS Compliance with Fully Managed Services|Servicios / Cumplimiento PCI-DSS|Transformación Digital|PCI-DSS Services / Compliance|Consulting and Digital Transformation
dAQhNjwkOX8|Cation Consulting: How to Build a Scalable Chatbot and Deploy to Europe's Largest Airline|Consultoría / Chatbots escalables|Transformación Digital|Scalable Consulting / Chatbots|Consulting and Digital Transformation
SC6n6J8Bi58|EMnify: Building a Cloud Native Mobile Network for IoT Leveraging AWSs Global Infrastructure|Telecomunicaciones / IoT|Tecnología|Telecommunications / IoT|Technology
G5tNCpmD2uQ|Voodoo: Perform Recommendations Using Machine Learning (French)|Entretenimiento / ML en apps|Entretenimiento|Entertainment / ml in apps|Entertainment
0wnNlOg42dc|Spyne.AI: High-Quality Product Visuals at Scale with AI on AWS|Marketing / Visualización de productos con IA|Marketing|Marketing / visualization of products with AI|Marketing
uBiaWJbTRsE|Western Union: Using Service Catalog to Share Applications|Finanzas / Gestión de servicios|Finanzas|Finance / Service Management|Finance
dy-drIboyNA|Healthdirect Australia: Using AWS to Connect People with Healthcare|Salud / Plataformas de conexión|Salud|Health / Connection Platforms|Health
c2TGPlvAHLs|NuData Security: Identity Validation with Amazon SageMaker|Ciberseguridad / Validación de identidad|Tecnología|Cybersecurity / identity validation|Technology
KgRib8AM0fs|Hudl: Ingesting and Transcoding Video Data Using AWS|Deporte / Procesamiento de video|Deportes|Sport / video processing|Sports
1tGmQd0yOzE|Whirlpool: Resilient SAP on AWS|Manufactura / SAP resiliente|Industria|Manufacturing / resilient sap|Manufacture
mxKhbU_ToMs|MindTouch: Modernizing Legacy C Applications to NET Core on AWS Lambda|Tecnología / Modernización de aplicaciones|Tecnología|Technology / Application Modernization|Technology
U8xlmurP-6o|Simplex: Building a Scalable Serverless Cryptocurrency Platform|Finanzas / Criptomonedas|Finanzas|Finance / cryptocurrencies|Finance
cZuoiXQ0xUk|Leaven: Machine Learning at Massive Scale to Protect Human Life|Ciencia / ML para protección de vida|Educación|Science / ml for life protection|Education
ftIdBG-UgFY|AQR: Using ECS to Provide Dev Teams Security & Authentication on a Scalable Container Platform|Finanzas / Seguridad en contenedores|Finanzas|Finance / Safety in Containers|Finance
fOgb0Es-lVs|Deluxe One: Unifying Modern Content Creation and Delivery at Scale|Media / Distribución de contenido|Tecnología|Mean / content distribution|Technology
aOY6YCpcjz8|HubSpot: Task Queueing System Built on top of Amazon SQS|Marketing / Gestión de tareas|Marketing|MARKETING / TASK MANAGEMENT|Marketing
vb-o1DvvHxk|Enoptea: PHP Layer for AWS Lambda French|Tecnología / Frameworks serverless|Tecnología|Technology / Frameworks Serverless|Technology
H_S7CxtHgSM|Raiffeisen Bank International: Automated Integration of On‑Premises Key Management with AWS KMS|Finanzas / Banca / Seguridad TI|Finanzas|Finance / Banking / Safety Ti|Finance
PgeQufaQy7I|MindTickle: Secure, Automated, Multi‑Region Architecture on AWS|Tecnología / Sales Enablement SaaS|Tecnología|Technology / Sales Enablement Saas|Technology
r2xfxJ-sXMY|Haptik: Data Lake for Conversational AI|Tecnología / Conversational AI / SaaS|Tecnología|Technology / Conversation AI / SAAS|Technology
Qi9soN5bpU4|ITTStar: AI‑powered Search of Luxury Goods for Retailers|Retail / e‑commerce / AI|Retail|Retail / e -commerce / ai|Retail
6EUknQqaV1w|CloudHealth by VMware: Secure State & 50M+ Assets on AWS|Cloud Management / Infraestructura TI|Tecnología|Cloud Management / Ti Infrastructure|Technology
kszaIJEnKPk|ResMed: Improving Patient Outcomes with Serverless at Scale|Salud / HealthTech|Salud|Health / Healthtech|Health
nt4lQx6tAI8|Wall Street Journal: Enhancing Real‑Time Newsroom with AWS AppSync|Media / Publishing / Streaming|Tecnología|Media / Publishing / Streaming|Technology
SxFag4CMWU8|Sisense: EKS & FSx for Multi‑Source Data Ingestion|Business Intelligence / Data Analytics|Transformación Digital|Business Intelligence / Data Analytics|Consulting and Digital Transformation
0JxJpNjI9Y0|Washington Post: Content Management with Speed|Media / Publishing Tech|Tecnología|Media / Publishing Tech|Technology
Wur1GWB03hk|Lockheed Martin: Alexa for Secure Program Management|Defensa / Empresas aeroespaciales / IoT|Aeroespacial|Defense / Aerospace Companies / IoT|Aerospace
EW4X5z7m-0U|Vanguard: Modern Network TAP Solution for the Cloud|Finanzas / Gestión de infraestructura TI|Finanzas|Finance / Ti Infrastructure Management|Finance
QJZHs1CSxu0|Define Media: Low‑Latency Ad Placement using ML|Media Tech / AdTech|Tecnología|Half / Adtech|Technology
0F7KDLz-kIQ|Zigbang: Serverless + ECS API + CDK|PropTech / Inmobiliaria digital|Transformación Digital|Proptech / Digital Real Estate|Consulting and Digital Transformation
8ZRWzn0G39g|Replicon: Multi-Tenant SaaS with BYOK Encryption|Tecnología / Enterprise SaaS / Seguridad|Tecnología|Technology / Enterprise Saas / Security|Technology
QnwfcDZkwh8|Mediaset: Omni‑Channel Broadcasting Voting System|Medios / Broadcasting|Tecnología|Media / Broadcasting|Technology
m8CBJEyHKIM|Dream11: Cost‑Effective Compute for Scaling Microservices|Gaming / SportsTech|Gaming|Gaming / Sportstech|Gaming
XqsgQxyZ2Tw|1plusX: Real‑Time Data Platform on AWS|Retail Tech / Orden en tiempo real|Retail|Retail Tech / Order in Real Time|Retail
2f_NYiPJQt4|Appway: Securing Banking Workflows with Isolated Architecture|FinTech / Banca Segura|Tecnología|Fintech / Segura Bank|Technology
sQsAGl7mSQs|Eyeota: ML Lifecycle for Advertising Audience Discovery|AdTech / Data Pipeline|Tecnología|Adtech / Data Pipeline|Technology
IV3KuMGVNXI|Deep Instinct: RT Security with Lambda@Edge|Ciberseguridad / Detección en tiempo real|Tecnología|Cybersecurity / real -time detection|Technology
DnTQ3matqts|ecofit: Responsive Lambda-based Microservices|Tecnología / Microservicios / SaaS|Tecnología|Technology / Microservicios / SAAS|Technology
Pc7_uOdlGKo|Panasonic Avionics: ML for In‑Flight Entertainment|Aeroespacial / Entretenimiento|Aeroespacial|Aerospace / entertainment|Aerospace
-3lnf5lzsH0|MakeMyTrip: Next‑Gen SOC on AWS|TravelTech / Seguridad operacional|Logística y Transporte|Traveltech / Operational Security|Logistics and transport
ZPsBzAwJzoI|NAGRA: NexGuard Watermarking for Streaming Security|Media / DRM / Seguridad|Tecnología|Media / DRM / Security|Technology
mKZw29_UtoU|Miriade: Forecasting Car Parking Availability (Italian)|Smart City / IoT Transport|Tecnología|Smart City / IoT Transport|Technology
j9OZ-7aCAyA|Homesite: Analytics Platform Using Amazon Neptune|PropTech / Real Estate Analytics|Seguros|Proptech / Real Estate Analytics|Insurance
_EPfIJnBCoM|PayGo: Smart Meters for Energy Conservation|Utilities / IoT / EnergyTech|Finanzas|Utilities / IoT / Energytech|Finance
a59halVklMI|Ashok Leyland: Running Telematics at Scale|Automotriz / Logística / Telemetría|Automotriz|Automotive / Logistics / Telemetry|Automotive
M_hqigB9C4I|Innovaccer: Healthcare Data Insights to Empower Care Teams|HealthTech / DataOps|Salud|Healthtech / Dataops|Health
8s0wGRkiDrw|Mobilewalla: S3 Access Monitoring Using ML|Telecom / Big Data Security|Tecnología|Telecom / Big Data Security|Technology
ZCj2wuKBBu4|Nike: Social Graph at Scale with Amazon Neptune|Retail / Sportswear Tech|Retail|Retail / Sportswear Tech|Retail
u5AT15mgbHk|Trade Desk: Real‑Time Ad Bidding with AWS Global Accelerator|AdTech / RTB / Marketing|Tecnología|Adtech / RTB / Marketing|Technology
-kA0ahrhX3I|Oportun: Sensitive Data Discovery Using Macie|FinTech / Compliance / Data Privacy|Tecnología|Fintech / Compliance / Data Privacy|Technology
AS2JeM2FUzE|Intellect Design Arena: Insurance Risk Assessment with FABRIC Data Services|InsurTech / RiskTech|Tecnología|Insurtech / Risktech|Technology
Xi6tDqctLsY|Salary Overflow: Bringing Transparency to Tecnología Salaries|Tech / HR / Salary Transparency|Tecnología|Tech / hr / salary transparency|Technology
IP03SkGbP-U|Astana International Exchange: Running a Stock Exchange in the Cloud|Finanzas / Intercambio bursátil (aix.kz)|Finanzas|Finance / stock exchange (Aix.kz)|Finance
ec6j-MaOSUc|Treasury Intelligence Solutions: Secure Data Lake para gestión de pagos|Finanzas / Treasury tech|Finanzas|Finance / Treasury Tech|Finance
RCWl0rf8lpE|Cognizant: Beyond Prediction con plataforma AI evolutiva|Tecnología / AI empresarial|Tecnología|Business Technology / Ai|Technology
D6rG9eZ5Qus|Graham Media Group: Modernización de broadcasting tradicional con AWS|Media / Broadcasting|Tecnología|Media / Broadcasting|Technology
H2fOkeXxpyw|Atlassian Forge: Secure Code Invocation a escala en AWS|Tecnología / DevOps / SaaS|Tecnología|Technology / Devops / SAAS|Technology
YiOTd6IfGoU|Go Global: Procesamiento de eventos en data lake genérico|Tecnología / Data Engineering|Tecnología|Technology / Data Engineering|Technology
Dxq_U1TNx1s|TCS: Análisis geoespacial para agricultura genética digital|AgriTech / Tecnología geoespacial|Agricultura|Agritech / Geospatial Technology|Agriculture
gcgtLDB0cKA|CMD by Mantel Group: Tránsito seguro de barcos mediante datos|Logística / Tecnología marítima|Logística y Transporte|Logistics / Maritime Technology|Logistics and transport
pCZ0bxgBL5c|Shin Software: Plataforma para apps 3D interactivas|Tecnología / Desarrollo 3D|Tecnología|Technology / 3D Development|Technology
c8615P0yfi8|Ounass: Escalable reco recommender con Word2vec (árabe)|Retail / e‑commerce / AdTech|Retail|Retail / e -commerce / adtech|Retail
qIO_54vJ_JI|Lancom Tecnología: App de videoconferencia escalable|Comunicaciones / Video Conferencing|Tecnología|Communications / Video Conference|Technology
zr3Kib0i-OQ|Accenture: Inventario de activos con Fargate|Consultoría / Enterprise Cloud|Transformación Digital|Consulting / enterprise cloud|Consulting and Digital Transformation
6sY0AunanlM|NGINX: Despliegue y escalado de apps con EKS/ECS|DevOps / Infraestructura|Tecnología|Devops / infrastructure|Technology
XUCGMzLx8wY|Mytona: Sistema de recomendación de ML para gaming|Gaming / GameTech|Gaming|Gaming / Gametech|Gaming
YosezjoL4MU|Korean Airline: Modernización de data warehouse|Transporte/Aerolíneas / Data Analytics|Logística y Transporte|Transport / Aerolineas / Data Analytics|Logistics and transport
BX1K8x1lVLc|Love, Bonito: Escalabilidad con Magento y Kubernetes|Retail / FashionTech|Retail|Retail / Fashiontech|Retail
i10a06IU4WQ|Pinterest: Control de acceso con STS|Redes sociales / Tecnología|Tecnología|Social Networks / Technology|Technology
4WjXH8Wp0E4|Kainos: Cuidado de pacientes con plataforma interoperable|HealthTech / eHealth|Salud|Healthtech / Ehealth|Health
QOtCpD23118|LeasePlan: Serverless para seguridad y reducción de costos de flota|Mobility Tech / Fleet Management|Tecnología|Mobility Tech / Fleet Management|Technology
W5qVQr-n5M8|FICO: Detección de fraude y AML con Lambda|FinTech / RegTech|Tecnología|Fintech / Regtech|Technology
1xLjtJnfZes|MATTR: Construyendo confianza digital a escala|Tech / Identity / Blockchain|Tecnología|Tech / identity / blockchain|Technology
nM-AkqNh7Yo|from scratch: Task distribution con EMR|Big Data / Data Engineering|Tecnología|Big Data / Data Engineering|Technology
LxeSC3-xMlk|St. Louis University: Alexa con Lex para consultas estudiantiles|EdTech / Voice Interfaces|Tecnología|EDTECH / VOICE INTERFACES|Technology
_pXybA6832o|Olikka: Hub de self-service con Alexa|Retail Tech / Voice Commerce|Retail|Retail Tech / Voice Commerce|Retail
QnmmTIYZxNI|Adobe: Networking en miles de cuentas AWS|Enterprise SaaS / Cloud Infra|Tecnología|Enterprise Saas / Cloud Infra|Technology
1kWxymroGeE|OutSystems: Decomposing a Data Monolith for Scale and MultiTenancy|Tecnología / Low‑Code / Escalabilidad SaaS|Tecnología|Technology / Low -Code / Scalability SAAS|Technology
ZNt9qI_LlPk|Autodesk Data Platform: Product Usage Real-Time Analytics|Software / CAD Analytics|Tecnología|Software / Cor Analytics|Technology
G07keU4g-LU|Jubilant FoodWorks: Driving Customer Experience via Data Lake|FoodTech / Experiencia Cliente|Food|Foodtech / customer experience|Food
l0hlxVNmJPI|eCloudvalley: Enterprise IoT Platform (Mandarin)|IoT / Cloud Integración|Tecnología|IoT / Cloud Integration|Technology
YjASp_VccmI|Vidsy: Content Platform on AWS|Marketing / Video Content SaaS|Marketing|Marketing / Video Content Saas|Marketing
i4ueYgjVDCw|Rappi: EKS, DocumentDB, RDS, ElastiCache to Scale Kubernetes|Food Delivery / Tech Ops|Food|Food Delivery / Tech Ops|Food
chQ1phTqvnY|Hi Res Cam: Object Detection with Lambda Rekognition|Seguridad / Computer Vision SaaS|Tecnología|SECURITY / COMPUTER VISION SAAS|Technology
uda9s3U7vFw|Tooso: Serverless Pipeline para Data Ingestion (Italian)|Retail Tech / Search SaaS|Retail|Retail Tech / Search Saas|Retail
Q6r_QbYXFpg|SynchroNet: Automation & WorkSpaces Provisioning with Step Functions|Enterprise Automation SaaS|Tecnología|Enterprise Automation Saas|Technology
h0HE3bOEiMk|HDFC Life: Event Driven Data Lake & Recovery|Finanzas / Seguros / DataOps|Finanzas|Finance / Insurance / Dataops|Finance
tTQ36qQF_vA|AWS Solutions: Multi‑Region DynamoDB, S3, Cognito|Cloud Infra / Multi‑Region Patterns|Tecnología|Cloud Infra / Multi -Region Patterns|Technology
0gNMEyei-co|Infor: Ingest/analyze App Events for Compliance|ERP / Compliance Analytics|Transformación Digital|ERP / Complence Analytics|Consulting and Digital Transformation
FmhL2334GIY|New Relic: Automated Monitoring on AWS with Synthetics|Observabilidad / Monitoring SaaS|Tecnología|Observability / Monitoring SAAS|Technology
BgT_bDAejSQ|GoDaddy: Agility with ZeroTrust Environment Best Practices|Web Hosting / Ciberseguridad|Tecnología|Hosting / Cybersecurity Web|Technology
SSWwnNVYi_Q|NHS Digital: Reducing processing time using EMR|Salud Pública / DataOps|Salud|Public Health / Dataops|Health
Jkx6kVbDpL4|Nielsen: 55 TB de datos por día con Lambda|Media / Data Analytics|Tecnología|Media / Data Analytics|Technology
iKYvG5aiIn8|TrueBlue: Job Matching con Serverless Delta Lake|HR Tech / Matching SaaS|Transformación Digital|HR Tech / Matching Saas|Consulting and Digital Transformation
4-teOQ_dJvY|SBB Cargo: Data Collection & Serverless Analytics|Transporte / Logística Tech|Transporte|TRANSPORT / LOGISTICS TECH|Transport
fTxvwVj02P0|Simpego|Finanzas / InsurTech|Finanzas|Finance / Insurtech|Finance
uNAmsoLed1E|Bajaj Housing Finance Limited|Finanzas / Hipotecario|Finanzas|Finance / Mortgage|Finance
oEmuI32GYww|LG Electronics ThinQ|Electrónica de consumo / IoT|Tecnología|Consumer electronics / IoT|Technology
GoziWpmFCS0|iRobot|Tecnología / Robótica de consumo|Tecnología|Consumer technology / robotics|Technology
Kp51k6LY-2c|Toyota Motor NA|Automotriz|Automotriz|Automotive|Automotive
Cw26CrJUqv8|Salesforce|Tecnología / SaaS CRM|Tecnología|TECHNOLOGY / SAAS CRM|Technology
c863uNkF0w4|ENGIE Digital|Energía / Utilities|Energía|Energy / Utilities|Energy
GxjMSvwcgvw|Sopra Banking Software|FinTech / Software Bancario|Tecnología|FINTECH / BANK SOFTWARE|Technology
N2mktbl8EQk|An Under the Hood Tune Up with AWS DeepRacer|Educación / AI & ML|Educación|Education / ai & ml|Education
pwxhclKcMas|Depop|Retail / Ecommerce moda|Retail|Retail / Ecommerce Fashion|Retail
FfSNnH2bbNc|Carbon by Indigo|Agricultura sostenible / FinTech Verde|Agricultura|Sustainable Agriculture / Fintech Green|Agriculture
E68ufJOduio|Cohesity: Helios! …|Tecnología / Almacenamiento y respaldo de datos|Tecnología|Technology / storage and data backup|Technology
twsGnp2X-aQ|Zillow: Building Speech Analytics…|Real Estate / PropTech|Real estate|Real Estate / Proptech|Real Estate
ruOhUEooJH0|SK Telecom: EndtoEnd Cloud Management Platform…|Telecomunicaciones / TIC|Tecnología|Telecommunications / ICT|Technology
3yJZ6rPoZfg|Hexagon HxDR: CloudBased Visualization of Spatial Data|Tecnología / GIS & Digital Twin|Tecnología|Technology / gis & digital twin|Technology
MbkLJ62jtMc|Mueller Water Products: …Sensor Data for Municipal Water Conservation|Industriales / Soluciones Hídricas|Industria|Industrial / water solutions|Manufacture
iwDNnyiD26M|Cedrus: Migrating a Legacy Application…|Tecnología / Consultoría & Middleware|Tecnología|Technology / Consulting & Middleware|Technology
u9DZRkJxvWo|PwC: Efficient Intelligent Serverless Pipeline for Pharma|Consultoría / Pharma|Transformación Digital|Consulting / Pharma|Consulting and Digital Transformation
ErXwuwF2mRU|Tapestry: ML & Analytics para Moda en AWS|Retail / Moda|Retail|Retail / fashion|Retail
5vR5aN_xdI0|Splunk: Data at Scale…|Tecnología / Observabilidad & Big Data|Tecnología|Technology / Observability & Big Data|Technology
Kp088QTRmLk|NewsUK|Media / Noticias digitales|Tecnología|Media / Digital News|Technology
o_zqbpuhyIY|TMA Greatest Hits 2020: Vol 1 with Nielsen HSBC and Temenos|Finanzas / Medios & Tecnología|Finanzas|Finance / Media & Technology|Finance
YV8e36ZywLk|Syntax|Tecnología / Consultoría SAP|Tecnología|SAP technology / consulting|Technology
EiljRL0977M|Neumora Therapeutics|Biotecnología / HealthTech|Salud|Biotechnology / Healthtech|Health
sSa4ikC8-Jc|HMH|Educación / Editorial|Educación|Education / Editorial|Education
a6kqyqTNJM4|Seera Group|Turismo / TravelTech|Turismo|Tourism / Traveltech|Tourism
dWCQw_KvlYQ|DAZN|Media / Deportes por streaming|Tecnología|Media / Sports by streaming|Technology
zhCNn7v7mvs|CM Group|Tecnología / Email marketing|Tecnología|Technology / email marketing|Technology
62E9ggjGS8I|DISH Network|Telecomunicaciones / Medios satelitales|Tecnología|Telecommunications / satellite media|Technology
hFx0EF9KEZU|Buzzvil|Tecnología / AdTech móvil|Tecnología|Mobile technology / adtech|Technology
d0EE1HuZSEU|William Hill|Apuestas / Entretenimiento / Gaming|Entretenimiento|Bets / entertainment / gaming|Entertainment
OQKOHNtyz3E|Vodafone NZ|Telecomunicaciones / Contact Center|Tecnología|Telecommunications / Contact Center|Technology
eEfWd4EgH_s|Homegate AG|Real Estate / PropTech|Real estate|Real Estate / Proptech|Real Estate
7wBOFcP1HwA|Seera Group (Arabic)|Turismo / TravelTech|Logística y Transporte|Tourism / Traveltech|Logistics and transport
uMX94Mn9u-4|Kmong|Marketplace de Servicios / Freelance tech|Tecnología|Marketplace of Services / Freelance Tech|Technology
WtCfHP6rUAY|Coople|Trabajo Temporal / Gig Economy|Transformación Digital|Temporary work / gig economy|Consulting and Digital Transformation
S-JSSZZaa94|Samsung Health|HealthTech / Mobile Apps|Salud|Healthtech / Mobile Apps|Health
aAYvbRhZFPo|Xero|FinTech / SaaS contable|Tecnología|FINTECH / SAAS ACCOUNTING|Technology
fRv8sOUyhZw|Ippon with Euler Hermes|Consultoría / Finanzas-insurance tech|Transformación Digital|Consulting / Finance-insurance tech|Consulting and Digital Transformation
e3N5ZuHh7G0|Wag|Servicios para mascotas / PropTech ligera|Pet Services|Pet services / Light Proptech|Pet Services
DAJZAygxDZA|BASF Digital Farming|Agritech / Agricultura inteligente|Agricultura|Agitech / Smart Agriculture|Agriculture
xKaPAihW_gE|Mission|Gamified Tech / Tecnología de fitness?|Transformación Digital|Gamified Tech / Fitness Technology?|Consulting and Digital Transformation
co4_t2gN1T8|AC3|Tecnología geoespacial / GIS|Aeroespacial|GEOESPACIAL / GIS TECHNOLOGY|Aerospace
WZ4YL4Z177Q|Delhivery|Logística / Supply Chain Tech|Logística y Transporte|Logistics / Supply Chain Tech|Logistics and transport
lHM96P5kP2k|Fyber|AdTech / Publicidad móvil|Tecnología|Adtech / Mobile Advertising|Technology
