architecture,name,description,category,link,tipo_arquitectura,services
T048vs9p1h4,DBS Bank: Scalable Serverless Compute Grid on AWS,"DBS's serverless compute grid for option pricing logic.
    The main application that talks to this this grid is called the MX3 application.
    Inputs: stored in S3
    Executable Binaries: stored in EFS which is mounted onto different lambdas
    Output: stored in DynamoDB, while logs are available in OpenSearch
    There are three queues based on job/team priority.
    The three lambdas actually have the same implementation. Separate instances are used for different queues for performance.",compute_intensive,https://www.youtube.com/watch?v=T048vs9p1h4,,"['Lambda', 'S3', 'UserConsumerAPI', 'SQS', 'EFS', 'OpenSearch', 'SNS', 'DynamoDB']"
6CgqEzyWpeA,SundaySky: Create Personalized Videos in Real Time on GPU-based Spot Instances for Video Rendering,rendering as a service (RaaS). used gpu based spot instances.api gateway for what kind of subscription user has. based on spot instances. how is high availability maintained? multiple availability zones. instance types in autoscaling groups.billion of videos yearly. highly available service - scaling mechanism reliant on cloudwatch metrics with lambda triggered by step func every 15 seconds. talks to ec2 if need to increase instance. AWS ASG - specific instance types to specific weights.,"compute_intensive,interactive",https://www.youtube.com/watch?v=6CgqEzyWpeA,Edge+HPC,"['Lambda', 'CloudWatch', 'S3', 'SQS', 'UserConsumerWebMobile', 'CloudFront', 'EC2', 'ApiGateway', 'StepFunctions']"
Felt-hOU6kU,Xero: Building a Scalable Self-Service Portal for Thousands of Developers Provisioning Resources,"Business platform: 3M+ customers. 1600 developers (within Xero, i think).
The key idea is to simplify provisioning. Final resources are created on EKS instances, and within preconfigured subnets and also uses RDS etc.
They need to create/manage AWS accounts for all customers (best guess), so they use Resource Access Manager.
150 subnets and ~150 AWS accounts.
Motivation: Quote: It is super hard to create infrastructure that is compliant.
Graph is _not_ usable. Graph: unusable.",control,https://www.youtube.com/watch?v=Felt-hOU6kU,,"['ALB', 'SQS', 'UserCompanyDeveloper', 'RAM', 'EKS', 'RDS']"
YosezjoL4MU,Korean Airline: Data Warehouse Modernization on AWS Korean,"Migrating existing on-premises data warehouse to Amazon Redshift
    DMS replicates data in EC2 in real time to RDS (within seconds). In case of large events (eg. flight departure) where millions of data generated, synchronization takes up to 3 min
    Data from source DB to RDS is converted using Amazon's SCT, Schema Conversion Tool
    Glue code configuration done through CI/CD Pipeline
    Future: after loading data to cloud, perform data analysis in real time; load other data such as SKYPASS to the data lake; create better customer service by integrating customer data and machine learning",control,https://www.youtube.com/watch?v=YosezjoL4MU,,"['CodeCommit', 'CloudFormation', 'CodePipeline', 'RedShift', 'DMS', 'Glue', 'S3', 'CodeBuild', 'Athena', 'UserCompanyAnalyst', 'EC2', 'RDS']"
i4ueYgjVDCw,"Rappi: Leveraging EKS, DocumentDB, RDS and ElastiCache to Quickly Scale Kubernetes Clusters",,"interactive,control",https://www.youtube.com/watch?v=i4ueYgjVDCw,Edge,"['MSK', 'WAF', 'ALB', 'UserCompanyDeveloper', 'EKS', 'CloudFront', 'UserConsumerMobile', 'EC2', 'ElastiCache', 'RDS']"
2e3vOxsHekE,Mueller Water Products: A Water Intelligent Platform,,data_ingestion,https://www.youtube.com/watch?v=2e3vOxsHekE,Edge,"['S3', 'ECS', 'UserConsumerEdge', 'UserCompanyAnalyst', 'SageMaker', 'ApiGateway']"
o6DZRwe30Ls,ArcBlock: Leveraging Amazon QLDB to Build a Decentralized Identity Solution,"web3 era, decentralized platform. allows developers to build dApps faster. why qldb? great streaming capability.
    consider as data ingestion because it ingests decentralized transactions data.",data_ingestion,https://www.youtube.com/watch?v=o6DZRwe30Ls,,"['ThirdParty', 'Kinesis', 'EC2', 'OpenSearch', 'QLDB']"
S85DeDgWQSc,San Diego Gas & Electric: Using Image Recognition and Machine Learning to Reduce Wildfire Risk,"Rekognition: detecting large assets: utility poles,
Lookout for Vision: detecting small assets.",data_ingestion,https://www.youtube.com/watch?v=S85DeDgWQSc,Edge,"['Lambda', 'S3', 'UserCompanyDrone', 'Rekognition', 'LookoutForVision', 'UserCompanyAnalyst', 'Aurora', 'Athena', 'UserConsumerMobile', 'ApiGateway', 'StepFunctions']"
WxMBuBBIwpI,NextRoll: Driving OpEx Efficiency for Ad Bidding Engines LIVE,"150B web requests
    600TB data generated per day
    Used to use reserved instances (but expensive and fixed with provider)
    EC2 uses SpotFleet and is distributed across multiple regions
    Upload 17 million files each individual day to S3
    Planning to move to EC2 Fleet",data_ingestion,https://www.youtube.com/watch?v=WxMBuBBIwpI,,"['Lambda', 'S3', 'ECS', 'EBS', 'ELB', 'EC2']"
CsD5bmM6mpY,Linke - a Syntax Company: Building a Business Continuity Framework for SAP (Spanish),"Manage SAP. Created a healing framework for SAP with outsourced monitor services (following AWS best practices).
    Outsourced monitoring has a benefit that if the instance fails with its local monitor, such failure can still be detected.",control,https://www.youtube.com/watch?v=CsD5bmM6mpY,,"['Lambda', 'CloudWatch', 'SAP', 'SystemsManager', 'EC2', 'SNS']"
fTxvwVj02P0,Simpego: Swiss InsurTech Running All Core Business Processes on AWS (German),"Swiss Insurer. ML pricing for customers. EKS for scalability, stability, cost saving. Glue because its serverless and processes data incrementally.","data_ingestion,interactive",https://www.youtube.com/watch?v=fTxvwVj02P0,,"['ThirdParty', 'Glue', 'S3', 'Firehose', 'EKS', 'Athena', 'UserConsumerWeb']"
iWK0iRUi-b4,Snyk: CICD Pipelines and Security Controls for Application Developers,,interactive,https://www.youtube.com/watch?v=iWK0iRUi-b4,,"['Lambda', 'CodePipeline', 'StepFunctions', 'S3', 'EventBridge', 'UserConsumerWeb', 'ApiGateway', 'DynamoDB']"
NfUwtK8ALtw,MX Player: Achieving Massive Scalability Using Amazon EKS with Spot Instances,"Scale: 300M+ MAU, 200 thousand hours of video content
notes: OTT (over the top). Autoscaled up up to 3K instances. Use h.266 encoding for better network savings (both for client, and CDN costs). Multi-codec transformation.
Key technologies used: SQS, Spot Fleet (autoscaling), Elasticache, S3, Cloudfront, GPU/CPU mix.

Video ingestion:
	Step 1: pre-transcoding (audio/subtitle) FLEET invoked, SQS message, job create in ELASTICACHE
	Step 2: data to SQS, invoke transcoding (video) FLEET autoscaled. Data pull from S3. Mark task done in ELASTICACHE. Write data to S3. 
User: talks to CLOUDFRONT, which pulls from S3.",compute_intensive,https://www.youtube.com/watch?v=NfUwtK8ALtw,Edge,"['ThirdParty', 'S3', 'SQS', 'CloudFront', 'UserConsumerWeb', 'EC2', 'ElastiCache']"
Wk9mCHyjtBU,Veracode: Eliminating Application Security Bugs Through DevSecOps at Scale,"Static Analysis service. The user uploads binary/code to github / gitlab / etc. from where it gets uploaded to Veracode platform.
    Flow 1: a scheduled lambda starts up EC2 instance which pulls uploaded binaries and performs static analysis.
    Flow 2: a scheduled lambda pulls information from online sources (github, gitlab, jira tickets, etc.) and then ML is used to identify issues and vulnerabilities.","compute_intensive,interactive",https://www.youtube.com/watch?v=Wk9mCHyjtBU,HPC,"['Lambda', 'ThirdParty', 'S3', 'KMS', 'Batch', 'UserConsumerWeb', 'EC2', 'DynamoDB']"
aOY6YCpcjz8,HubSpot: Task Queueing System Built on top of Amazon SQS,"Asynchronous Task Queuing System. they have built a fallback system incase SQS in unavailable! That's weird/interesting. talks about why used structured (SQL). scale: 6500 tasks/sec.isolates/shards across each SQS, datastores. talks about QoS: skips pipeline steps if getting late.",compute_intensive,https://www.youtube.com/watch?v=aOY6YCpcjz8,,"['UserCompanyAPI', 'EC2', 'ThirdParty', 'SQS']"
ccPhkyPm_3w,Imperva: Building Real-Time Streaming Data Pipelines Using Amazon MSK,Application and data security. With the use of MSK the time taken to deliver the security issues to customer has been reduced from 20 min to < 3 min. Batch processing to Stream processing.,data_ingestion,https://www.youtube.com/watch?v=ccPhkyPm_3w,,"['EMR', 'MSK', 'S3', 'EKS', 'UserCompanyDataStream', 'OpenSearch']"
GJ1So_pbZWk,Taysols: Next Best Offer Recommendation System using Amazon SageMaker,"Customers can drop their data in different storage systemscomplete serverless and event-driven, easy to productionizeSagemaker for training and predictionFuture plans to use code pipeline for ci-cd",data_ingestion,https://www.youtube.com/watch?v=GJ1So_pbZWk,,"['Lambda', 'RedShift', 'Glue', 'S3', 'EFS', 'UserConsumerWeb', 'SageMaker', 'DynamoDB']"
RCWl0rf8lpE,Cognizant: Beyond Prediction with a Unique Evolutionary AI Platform,"Use evolutionary algorithms to generate ANN architectures.
    Run candidate architectures in user's subscription and get feedback.
    Use feedback to generate more architectures -- and iterate.
    Note only EC2_1, S3_1, and ECR are running in company's subscription.
    EC2_1 is where ENN Service is running. There is a mention of using a Kubernetes Cluster and using kOps to manage it.
    EC2_2 is running under customer's account. The company also provides libraries and configuration data which the customer can use to interact with the SaaS system.
    EC2_3 (called Studio ML Workers) is not actually a single EC2 but rather a cluster. This cluster is also running in customer's account.",compute_intensive,https://www.youtube.com/watch?v=RCWl0rf8lpE,,"['EC2', 'SQS', 'ECR', 'S3']"
ec6j-MaOSUc,Treasury Intelligence Solutions: Managing Data Growth & Scalability with a Secure Data Lake,"To manage corporate payments. This architecture for 2 needs - data growth, making data available to internal teams. Restrcited access to data using lake formation and fine grain permissions. Automated the infra provisioning using terraform. Terraform also used to provide dataset descriptions to describe data products in a consistent way. Enables them to build a data marketplace. Glue workflows and Glue ETL processes to transform the data. 15TB data in Data lake growing at a rate of 500GB every month. Data access through market place and also through API gateway & Step functions. Experiment using Sage Maker for implementing ML, Macie to identify PII data, kinesis to injest logs from infra and applications to analyze.",data_ingestion,https://www.youtube.com/watch?v=ec6j-MaOSUc,,"['Lambda', 'ThirdParty', 'StepFunctions', 'Glue', 'S3', 'UserCompanyDeveloper', 'Aurora', 'UserCompanyAnalyst', 'LakeFormation', 'ApiGateway', 'DMS']"
mxKhbU_ToMs,MindTouch: Modernizing Legacy C Applications to  NET Core on AWS Lambda,"Video describes migration of their monolith app to microservices.
    Some functions are still done by the monolith running on EC2.
    The app running on EC2 emits events (that need to be serviced). These are classified based on topic and sent to various SQS queues for execution.
    The execution pipeline is not described.
    Error handling is done using another SQS queue (Dead Letter Queue) which gets failed events from various SQS queues.
    These failed events are then stored to a database which is accessible by developers using a UI.
    There is a cron job which is triggered periodically and submits failed events back to execution queues for retry.",compute_intensive,https://www.youtube.com/watch?v=mxKhbU_ToMs,,"['Lambda', 'ThirdParty', 'SQS', 'UserCompanyDeveloper', 'UserConsumerWeb', 'EC2', 'SNS']"
YrEc8oMIxDs,Thales: Automate Security Threat Detection and Remediation with AWS Security Services French,"Security event data ingest pipeline, that accepts inputs from multiple sources and triggers events on a
    number of thirdparty apps for efficient troubleshooting and monitoring.",data_ingestion,https://www.youtube.com/watch?v=YrEc8oMIxDs,,"['ThirdParty', 'CloudWatch', 'SecurityHub', 'Inspector', 'GuardDuty', 'StepFunctions']"
DrkaU99l9S8,L&T Technology Services: Monitor & Analyze the Health of Industrial Equipment Using LTTS UBIQWeise,,data_ingestion,https://www.youtube.com/watch?v=DrkaU99l9S8,Edge,"['Lambda', 'ThirdParty', 'Kinesis', 'S3', 'UserConsumerEdge', 'UserConsumerWeb', 'IoTAnalytics', 'SageMaker', 'IoTCore', 'QuickSight']"
CTG23wd9H74,3M: Building an HPC Modeling Platform to Simplify AWS Usage for Scientists and Engineers,"A platform to publish and run ML models.
    Inspired by CI-CD pipelines.",interactive,https://www.youtube.com/watch?v=CTG23wd9H74,HPC,"['StepFunctions', 'S3', 'ECS', 'CloudFront', 'UserCompanyAnalyst', 'EC2', 'ApiGateway', 'DynamoDB']"
wE3TmHxyRdA,Innovapost: Scaling to 5M Package Deliveries with Serverless,largest express courier company of Canada. 5 million packages every day. managing load on imp days. challenges? legacy - reliability and scalability. need reliability. the system works on events. different lambdas for diff processes.each lambda reacts differently. modular.why s3? weighing and redimensioning - need that data. image is captured.rds is the single source of truth. might use step functions in the future. scalability on the rds front.,control,https://www.youtube.com/watch?v=wE3TmHxyRdA,,"['Lambda', 'S3', 'SQS', 'ApiGateway', 'RDS']"
c863uNkF0w4,ENGIE Digital: Using Spot Instances to Optimize Costs for Operations Platform for Energy Assets Fr,"supports zero-carbon transition. around 15 million messages per day. aim to reach 500 mill messages in the next 2-3 years.
    cloud formation is used to automate entire architecture. each env is made up of 70 stacks. deployed across the globe.
    parameter store used for configuration of containers. auto scaling used for cost control with spot. use fleet of different instances, 
    so if one goes down atleast one is up.
    availability?",data_ingestion,https://www.youtube.com/watch?v=c863uNkF0w4,Edge,"['CloudFormation', 'Kinesis', 'S3', 'UserConsumerAPI', 'ECS', 'UserConsumerEdge', 'SystemsManager', 'EC2', 'ApiGateway']"
H2fOkeXxpyw,Atlassian: Secure Code Invocation at Scale with Atlassian Forge on AWS,"atlassian forge. Scaling: 1000s of customers. limit on lambda thats why many EC2. multi-tenant SaaS application.Launch Lambda to execute CI/CD jobs; Lambda are in a different account (but shared by multiple tenants)
 'And we are typically limited on the control plane, on Lambda,
 on how many invocations we can do, how many Lambdas we can create
 in a certain time interval.'",control,https://www.youtube.com/watch?v=H2fOkeXxpyw,,"['Lambda', 'SQS', 'UserCompanyDeveloper', 'UserConsumerWeb', 'EC2', 'DynamoDB']"
uQFtb0iMC_s,AWS Solutions: Media Analysis,"why step functions? a) Allows to run multiple AI services based on media type.  b) Extensibility for customer. 'exactly why Step Functions was used': developer can add a branch e.g. send to SageMaker/Textract and send to elasticsearch.
    HACK & LIMITATION: Transcribe has limitation of audio size. Use MediaConvert to extract audio from video to bypass this limitation.
    any persistence layer is fine (no particular need for opensearch/elasticsearch), e.g., since the output is JSON, could be stored in S3 and query with Athena.",data_ingestion,https://www.youtube.com/watch?v=uQFtb0iMC_s,,"['Lambda', 'S3', 'Rekognition', 'Comprehend', 'MediaConvert', 'Transcribe', 'OpenSearch', 'StepFunctions']"
BlCXEMp_lqY,Vizio: Smart TV Analytics at Scale,Millions of connected devices with Billions of events per month. 6 weeks to go to prod with the help of Amazon professionals help,data_ingestion,https://www.youtube.com/watch?v=BlCXEMp_lqY,Edge,"['Kinesis', 'RedShift', 'S3', 'UserConsumerTV', 'Firehose', 'QuickSight']"
G07keU4g-LU,Jubilant FoodWorks: Driving a Quality Customer Experience Using Data Lake,"1250 restaurants, 200K pizzas delivery in 30 min. Responsible to deliver on time. Trying to solve scale - 1500 orders per min during peak hours. Solving data availability - data latency, weeks before the insights were available to campaigning team. Hot curated data(past 5-6 months) is moved from S3 to redshift. Redshift spectrum transparently joins the data and gives it to user in case data is not present in Redshift. Business insights that are triggered on adhoc basis are served by Athena as redshift has only 5-6 months old data. Future Plans - More data sources need to be plugged in, Sage maker to power forecasting and personalization engines to enhance consumer experience.",data_ingestion,https://www.youtube.com/watch?v=G07keU4g-LU,Edge,"['EMR', 'UserConsumerPOS', 'ThirdParty', 'RedShift', 'S3', 'UserCompanyAnalyst', 'UserConsumerMobile', 'Athena', 'DMS']"
1aYoIZvabbk,OLX Autos: Building Developer Platform for Rapid Global Expansion,Looks at SQS for resuming jobs in case of spot instance termination.,control,https://www.youtube.com/watch?v=1aYoIZvabbk,,"['ALB', 'SQS', 'UserCompanyDeveloper', 'Route53', 'EKS', 'SNS']"
jV8DwutbXbg,Tandem Bank: Processing Transaction Data using AWS Lambda with NLP,Connect all other banks to collect the transaction data. Only one lambda can be connected to a kinesis shard and the amount of data ingestion is huge. To keep up with the demans data is published to SQS. SQS with lambda can scaleout well. NLP used to extract transaction related data from different banks statements. Use their own NLP model and use Jenkins & Cloud foundation to update the model instances. Questions - why not use S3 to use the transactional statements before processing?,data_ingestion,https://www.youtube.com/watch?v=jV8DwutbXbg,,"['Lambda', 'Kinesis', 'SQS', 'RDS']"
uWUAcc68MWI,AWS Solutions: RealTime IoT Device Monitoring with Kinesis Data Analytics,"MQQT messages from IoTCore. firehose helps in redirecting. makes it easier. its extensible. 
    The entire architecture is available in CloudFormation template, which can be deployed in 15 mins.",data_ingestion,https://www.youtube.com/watch?v=uWUAcc68MWI,Edge,"['Lambda', 'IoTCore', 'S3', 'Cognito', 'Firehose', 'CloudFront', 'UserConsumerWeb', 'KinesisAnalytics', 'DynamoDB']"
qIO_54vJ_JI,Lancom Technology: Building a Scalable Video Conferencing Application,,data_ingestion,https://www.youtube.com/watch?v=qIO_54vJ_JI,,"['S3', 'UserCompanyAgent', 'Fargate', 'SQS', 'UserConsumerMobile', 'EC2']"
xKaPAihW_gE,Mission: Gamified Platform Scaling with Amazon EKS,"Fantasy sports platform for fan engagement. Users propose startegies and vote for them while the actual game is played.
    So there are two flows, the strategy submission and voting (so two ALBs).
    System is usually idol except for when games are played which is when system needs to scale.
    Everything is contained within VPC.",compute_intensive,https://www.youtube.com/watch?v=xKaPAihW_gE,,"['VPC', 'ALB', 'SQS', 'EKS', 'UserConsumerMobile', 'Aurora', 'ElastiCache']"
gpWR5JBC64A,FoodHub: Enabling Massive Scale Order Processing with Serverless Architecture,,"data_ingestion,interactive",https://www.youtube.com/watch?v=gpWR5JBC64A,,"['Lambda', 'Kinesis', 'S3', 'UserCompanyAgent', 'QuickSight', 'AppSync', 'UserConsumerMobile', 'DynamoDB']"
N0NBhnxez00,This is My Architecture: Analytics Customer Spotlight,summary video,control,https://www.youtube.com/watch?v=N0NBhnxez00,,"['Kinesis', 'UserConsumerAPI']"
ooVtAAoSH2k,CrowdStrike: Analyzing Telemetry Streams to Protect Cloud Endpoints,use cloudformation to setup perms in customer's account and setup cloutrail + metric capture tool. sends data to aws GuardDuty+SecurityHub,data_ingestion,https://www.youtube.com/watch?v=ooVtAAoSH2k,,"['S3', 'SQS', 'UserCompanyDeveloper', 'EC2', 'SNS', 'CloudTrail']"
CE03UMddoYU,WEGoT aqua: Scaling IoT Platform for Water Management & Sustainability,,data_ingestion,https://www.youtube.com/watch?v=CE03UMddoYU,Edge,"['Lambda', 'UserConsumerEdge', 'SQS', 'Aurora', 'EC2', 'ElastiCache', 'ApiGateway', 'DynamoDB']"
Jkx6kVbDpL4,Nielsen: Processing 55TB of Data Per Day with AWS Lambda,"sending files over network (55tb per day) - 30 million lambda invocations. 250 billion events per day. each file has multiple events. keep metadata and data layer separate. lambda hierarachy - fan out architecture. 100 networks they upload data to.scale, rate limiting, costs - three challenges they tackled. 3000 lambdas concurrently run. another sqs queue to handle bursts of data to write back to postgres.  costs - from 7.7$ per billion to 4.25$ per billion. immediate savings due to lambda on code improvement.",data_ingestion,https://www.youtube.com/watch?v=Jkx6kVbDpL4,,"['Lambda', 'EMR', 'S3', 'SQS', 'UserCompanyAnalyst', 'UserCompanyDataStream', 'RDS']"
bqZWYmRAka0,DBS Bank: Architecting Quant Pricing Engine for Performance with Amazon ElastiCache,,compute_intensive,https://www.youtube.com/watch?v=bqZWYmRAka0,,"['ThirdParty', 'UserConsumerAPI', 'ECS', 'ALB', 'ElastiCache']"
9-6hQdFeolc,Lyniate: Scaling Healthcare Data Exchange At Scale with Tenant Isolation,,"interactive,control",https://www.youtube.com/watch?v=9-6hQdFeolc,,"['UserCompanyCRM', 'NLB', 'EBS', 'UserCompanyDeveloper', 'EKS', 'ECR', 'EC2']"
9-a9Y5THTYo,Vitesco Technologies Cloud Foundation: A Scalable and Automated Cloud Landing Zone,"Manufacturer of owertrain technology for sustainable mobility
    IT challenge: 50 locations, 1000+ servers, 300 databases, 300+ app in 2 years
    System allows internal users to create AWS accounts directly and very fast while satisfying standard
    The system has already created 850 accounts
    AWS Control Tower is used to first create the actual account
    The email sent by SES contains how to access & use the account, and owner's responsibility
    Each change in configuration reaches customer account in less than 3 hours through code pieline (applied to Dev account first, then QA accounts, and finally Prod accounts)",control,https://www.youtube.com/watch?v=9-a9Y5THTYo,,"['ControlTower', 'DynamoDB', 'SES', 'UserConsumerWeb', 'ApiGateway', 'StepFunctions']"
K5ww_O4vsxo,Samsung Cloud: Global Hybrid Network Optimization Across 5 AWS Regions Using AWS Transit Gateway,"The video is in Korean. Provide functions (e.g., data backup, restoration) for smartphones users. Cross-region communication was powered by encryption over public network; now use AWS Transit Gateway.
    Compare VPC peering and Transit Gateway: Transit Gateway is easier to use (just like configuraing a routing table inside a VPC) and provides metrics (e.g., traffic counts, dropped packet counts) for monitoring.
    Mix of on-premises software and AWS services; for on-premises, connect the AWS Direct Connect and Transit Gateway; for others, use Site-to-Site VPN (included in Transit Gateway already). This achieves a large private network.",control,https://www.youtube.com/watch?v=K5ww_O4vsxo,,"['DirectConnect', 'VPC', 'TransitGateway', 'ThirdParty']"
f5EJBUfGZtw,Expedia: Salesforce Integration with AWS,running on cloud.. there is batch processing... real time integration w salesforce.. 500-800m rows on a daily basis.. bottom sec - 5-10m events/day.. easily scalable,data_ingestion,https://www.youtube.com/watch?v=f5EJBUfGZtw,,"['Lambda', 'ThirdParty', 'Glue', 'S3', 'UserConsumerAPI', 'ECS', 'SQS', 'Aurora', 'EC2']"
pCZ0bxgBL5c,Shin Software: How to Implement a Platform for the Creation of Interactive 3D Applications (Italian),want to move to even more cloud native stuff (move from RDS to Aurora),interactive,https://www.youtube.com/watch?v=pCZ0bxgBL5c,,"['Lambda', 'S3', 'UserConsumerWeb', 'ApiGateway', 'RDS']"
KiH7hVJKzns,ADP: Unmatched People Data for Extraordinary Outcomes,"HR/Payroll system.
    70K clients, tens of millions of users.
    EKS is a too high-level (includes hundreds of microservices).",interactive,https://www.youtube.com/watch?v=KiH7hVJKzns,,"['MSK', 'UserConsumerWebMobile', 'ELB', 'EKS', 'Aurora', 'OpenSearch', 'ElastiCache', 'ApiGateway']"
4-teOQ_dJvY,SBB Cargo: Data Collection and Processing with Serverless Analytics Services,"[INTERESTING TAKEAWAY!]
    Railway company.
    Use sensors to reduce train inspection time.
    Data producers are sensors; consumers are some other algorithms.
    [**goal**] Want flexible to extend functions (e.g, new sensors);
    [**infrastructure as code**] to add a new data producer, just duplicate ""lambda -> kinesis_1 -> kineses_2"" and plug into kineses_3.
    Why Lambda over EC2: goal is as least operations as possible because the engineer team is small; lambda only runs a few lines of code so don't want to manage machines.",data_ingestion,https://www.youtube.com/watch?v=4-teOQ_dJvY,Edge,"['Lambda', 'Kinesis', 'KinesisAnalytics', 'UserCompanyAPI', 'UserCompanyEdge', 'ApiGateway', 'DynamoDB']"
rHLuQTO6eoo,Insider: How We Ingest Billions of Data Points Daily to Power our Real-Time Products,eks uses managed node groups (spot instances). 50K W requests per second. 100K R requests per second.,data_ingestion,https://www.youtube.com/watch?v=rHLuQTO6eoo,,"['ThirdParty', 'S3', 'ELB', 'EKS', 'UserCompanyAnalyst', 'UserConsumerMobile', 'Athena', 'DynamoDB']"
D77FSUkPJ3o,"Avio Aero, a GE Aviation Business: Serverless Application to Manage Expense Purchase Approvals","Expense management system. The workload exhibits spikes and the older application becomes slow to manage this workload. 20 lambda functions to handle different things. DynamoDB to store metadata from the ticket. S3 to store attachments, that are financial docs, encrypted at rest with KMS Technology. Reliable application with the ability to scale and less issues and save lot of money.",interactive,https://www.youtube.com/watch?v=D77FSUkPJ3o,,"['Lambda', 'ThirdParty', 'S3', 'ECS', 'ELB', 'UserConsumerWeb', 'DynamoDB']"
DAJZAygxDZA,BASF Digital Farming: Productionizing ML with a Cross-Account Model Deployment Solution,"used internally by image recognition app for diseases/weed in crops.
    Scale: 6.5 M users (installed).
    userCompanyAnalyst is data scientist.
    XAMD (Cross-Account Model Deployment), actual interesting piece, is missing details. It uses StepFunctions, ApiGateways (fully serverless). Step function used to deploy to different accounts.
    Built this architecture to automate their manual pipeline.",control,https://www.youtube.com/watch?v=DAJZAygxDZA,,"['ThirdParty', 'UserCompanyDeveloper', 'UserCompanyAnalyst', 'UserConsumerMobile', 'ModelRegistry', 'SageMaker']"
KQ6Fg206O9U,VietJet: Proactively Defending Your Systems from Bad Bots,"Video describes security measures to prevent DDoS attacks.
    Incoming requests are passed through a WAF. They also have additional business logic (some pattern matching) in LambdaAtAEdge.
    This provides even more safety. Athena and QuickSight provide their business analysts insights into the data.
    Based on the insights, the company analyst may add more patterns (to block) in the LambdaAtEdge to save system during attacks.
    Their booking system runs on EC2. It is not shown how it connects with the other components. One can assume that accepted requests
    eventually land there.",data_ingestion,https://www.youtube.com/watch?v=KQ6Fg206O9U,Edge,"['Lambda', 'WAF', 'S3', 'Firehose', 'LambdaAtEdge', 'CloudFront', 'Athena', 'UserConsumerWeb', 'EC2', 'QuickSight']"
XGVWdSnml6A,Toyota Research Institute: On-Demand Self-Service Portal for Data Scientists to Process Data Sets,autonomous research. ML infra. before took a week to set up now quite low using service catalog.,compute_intensive,https://www.youtube.com/watch?v=XGVWdSnml6A,Edge+HPC,"['ServiceCatalog', 'CloudFormation', 'ThirdParty', 'FSX', 'UserConsumerAPI', 'S3', 'UserConsumerEdge']"
OrC9cLYMbas,Telecoming: How To Save Up to 70% Using Fargate Spot on a Test Automation Platform (Spanish),"7 billion annual payment transactions
    present in 27 countries
    30000 daily test executions
    cost optimization using Fargate Spot (70% savings)
    testing platform",control,https://www.youtube.com/watch?v=OrC9cLYMbas,,"['ThirdParty', 'S3', 'Fargate', 'EC2', 'RDS']"
9qTEHITVeLE,Majid Al Futtaim: Building a Custom Data Management Solution on AWS,600 kafka topic60 TB data in S3 currently,"data_ingestion,interactive",https://www.youtube.com/watch?v=9qTEHITVeLE,,"['EMR', 'ThirdParty', 'MSK', 'S3', 'EKS', 'UserConsumerWeb', 'RDS']"
-wLEkq21cvA,Versent: The Migration Factory,"Provide AWS Consultancy (Migration) services to users.
    This architecture is for automating migration from On-Prem to AWS.
    Note they are using AWS services to provide migration assistance to their clients. So the study categories don't fit well.",control,https://www.youtube.com/watch?v=-wLEkq21cvA,,"['ThirdParty', 'AppDiscovery', 'UserCompanyAgent', 'EC2', 'DynamoDB']"
az-C2c33trQ,Adikteev: ROI Analysis of Advertising Campaigns From Data Ingestion to Prediction Dashboards,"adTech company for optimize ad spending
    Separate spark clusters for each customer and each job - 100
    Separate spark clusters for resiliency, independent job failures
    use of spot instances - cost efficient
    Same data in both RDS (for fast data access) & RedShift(for flexibility)
    Architecture designed and deployed in 3 months during MVP phase, scale as customers grow",data_ingestion,https://www.youtube.com/watch?v=az-C2c33trQ,,"['ThirdParty', 'RedShift', 'S3', 'EKS', 'UserConsumerWeb', 'RDS']"
ruOhUEooJH0,SK Telecom: EndtoEnd Cloud Management Platform on AWS Korean,"Cloud Management. Split into two parts: Cloud Admin Portal (CAP) and Cloud Biz Platform (CBP).
    CAP: contract/account/billing management, etc.
    CBP: collect all BSS, OSS info from cloud ecosystems.
    Plan to use CodePipeline for CI/CD.
    The entire CBP has no line drawn... so consider as unusable for now.",other,https://www.youtube.com/watch?v=ruOhUEooJH0,Edge,"['S3', 'UserCompanyDataStream', 'Fargate', 'ELB', 'UserConsumerDeveloper', 'Aurora', 'CloudFront', 'DirectConnect', 'UserConsumerWeb', 'ElastiCache', 'SageMaker']"
l0hlxVNmJPI,eCloudvalley: Build Up An EnterpriseLevel IoT Platform In One Minute Mandarin,"The tenant is able to use template to quickly setup the system
    Communication to IoT Core is through MQTT
    Data is stored in the DynamoDB or S3 created on the customer's account rather than platform's account",data_ingestion,https://www.youtube.com/watch?v=l0hlxVNmJPI,Edge,"['Lambda', 'IAM', 'Cognito', 'S3', 'UserConsumerEdge', 'RDS', 'AutoScaling', 'UserConsumerMobile', 'EC2', 'SNS', 'IoTCore', 'DynamoDB']"
